Phase_Number,State,Constituency,Total_Electorate_Count,Poll_Percent,Total_Votes_Polled
2,Kerala,Wayanad,1462423.0,73.57,1075921.0
2,Madhya Pradesh,DAMOH,1925314.0,56.48,1087455.0
2,Madhya Pradesh,HOSHANGABAD,1855692.0,67.21,1247298.0
2,Madhya Pradesh,KHAJURAHO,1997483.0,56.97,1137867.0
2,Madhya Pradesh,REWA,1852126.0,49.43,915444.0
2,Madhya Pradesh,SATNA,1705260.0,61.94,1056175.0
2,Madhya Pradesh,TIKAMGARH,1826585.0,60.0,1096023.0
2,Maharashtra,Akola,1890814.0,61.79,1168366.0
2,Maharashtra,Amravati,1836078.0,63.67,1169121.0
2,Maharashtra,Buldhana,1782700.0,62.03,1105761.0
2,Maharashtra,Hingoli,1817734.0,63.54,1154958.0
2,Maharashtra,Nanded,1851843.0,60.94,1128564.0
2,Maharashtra,Parbhani,2123056.0,62.26,1321868.0
2,Maharashtra,Wardha,1682771.0,64.85,1091351.0
2,Maharashtra,Yavatmal- Washim,1940916.0,62.87,1220189.0
2,Rajasthan,AJMER,1995699.0,59.66,1190561.0
2,Rajasthan,BANSWARA,2200438.0,73.88,1625731.0
2,Rajasthan,BARMER,2206237.0,75.93,1675276.0
2,Rajasthan,BHILWARA,2147159.0,60.37,1296228.0
2,Rajasthan,CHITTORGARH,2170167.0,68.61,1488898.0
2,Rajasthan,JALORE,2297328.0,62.89,1444866.0
2,Rajasthan,JHALAWAR-BARAN,2030525.0,69.71,1415420.0
2,Rajasthan,JODHPUR,2132713.0,64.27,1370616.0
2,Rajasthan,KOTA,2088023.0,71.26,1487879.0
2,Rajasthan,PALI,2343232.0,57.19,1339989.0
2,Rajasthan,RAJSAMAND,2060942.0,58.39,1203299.0
2,Rajasthan,TONK-SAWAI MADHOPUR,2148128.0,56.58,1215309.0
2,Rajasthan,UDAIPUR,2230971.0,66.66,1487268.0
2,Tripura,Tripura East,1396761.0,80.36,1122424.0
2,Uttar Pradesh,Aligarh,1997234.0,56.93,1137051.0
2,Uttar Pradesh,Amroha,1716641.0,64.58,1108579.0
2,Uttar Pradesh,Baghpat,1653146.0,56.16,928392.0
2,Uttar Pradesh,Bulandshahr,1859462.0,56.42,1049189.0
2,Uttar Pradesh,"Gautam Buddha
Nagar",2675148.0,53.63,1434667.0
2,Uttar Pradesh,Ghaziabad,2945487.0,49.88,1469260.0
2,Uttar Pradesh,Mathura,1929550.0,49.41,953388.0
2,Uttar Pradesh,Meerut,2000530.0,58.94,1179121.0
2,West Bengal,Balurghat,1561966.0,79.09,1235347.0
2,West Bengal,Darjeeling,1765744.0,74.76,1320072.0
2,West Bengal,Raiganj,1790245.0,76.18,1363854.0
3,Assam,Barpeta,1966847.0,85.24,1676633.0
3,Assam,Dhubri,2660827.0,92.08,2450041.0
3,Assam,Guwahati,2036846.0,78.39,1596664.0
3,Assam,Kokrajhar,1484571.0,83.55,1240306.0
3,Bihar,Araria,2018767.0,61.93,1250261.0
3,Bihar,Jhanjharpur,2003040.0,54.48,1091258.0
3,Bihar,Khagaria,1840217.0,57.52,1058539.0
