Constituency_Name,State,EVM Votes Counted,EVM Votes Polled,Difference,Margin
Shahjahanpur,Uttar Pradesh,1243585,1244364,-779,55379.0
Sheohar,Bihar,1052505,1052021,484,29143.0
Shillong,Meghalaya,1033451,1033251,200,371910.0
SHIMLA,Himachal Pradesh,958978,959445,-467,91451.0
Shimoga,Karnataka,1372668,1372949,-281,243715.0
Shirdi,Maharashtra,1057328,1057298,30,50529.0
Shirur,Maharashtra,1372797,1375593,-2796,140951.0
Shrawasti,Uttar Pradesh,1046002,1046253,-251,76673.0
SIDHI,Madhya Pradesh,1145388,1146150,-762,206416.0
SIKAR,Rajasthan,1274311,1274270,41,72896.0
Sikkim,Sikkim,368869,370765,-1896,80830.0
Silchar,Assam,1082612,1082616,-4,264311.0
Singhbhum,Jharkhand,999884,1003482,-3598,168402.0
SIRSA,Haryana,1351949,1351932,17,268497.0
Sitamarhi,Bihar,1091836,1094885,-3049,51356.0
Sitapur,Uttar Pradesh,1100826,1100741,85,89641.0
SIVAGANGA,Tamil Nadu,1048358,1049887,-1529,205664.0
Siwan,Bihar,995506,995416,90,92857.0
Solapur,Maharashtra,1201261,1201586,-325,74197.0
SONIPAT,Haryana,1119190,1120791,-1601,21816.0
Sonitpur,Assam,1281074,1281959,-885,361408.0
South Delhi,Delhi,1293476,1293598,-122,124333.0
South Goa,Goa,445924,445916,8,13535.0
Srerampur,West Bengal,1471838,1472793,-955,174830.0
Srikakulam,Andhra Pradesh,1208912,1214128,-5216,327901.0
SRINAGAR,Jammu & Kashmir,671933,672653,-720,188416.0
SRIPERUMBUDUR,Tamil Nadu,1435381,1435243,138,487029.0
Sultanpur,Uttar Pradesh,1030179,1030583,-404,43174.0
Sundargarh,Odisha,1148968,1150875,-1907,138808.0
Supaul,Bihar,1225026,1224821,205,169803.0
Surat,Gujarat,0,0,0,
Surendranagar,Gujarat,1120179,1120128,51,261617.0
SURGUJA,Chhattisgarh,1453064,1453444,-380,64822.0
Tamluk,West Bengal,1568214,1569233,-1019,77733.0
Tehri Garhwal,Uttarakhand,846803,848186,-1383,272493.0
TENKASI,Tamil Nadu,1031307,1031961,-654,196199.0
Thane,Maharashtra,1304427,1306194,-1767,217011.0
THANJAVUR,Tamil Nadu,1022796,1024949,-2153,319583.0
THENI,Tamil Nadu,1133569,1133513,56,278825.0
Thirupathi(Sc),Andhra Pradesh,1365358,1368362,-3004,14569.0
Thiruvananthapuram,Kerala,950874,950829,45,16077.0
THOOTHUKKUDI,Tamil Nadu,973066,975468,-2402,392738.0
Thrissur,Kerala,1081181,1081125,56,74686.0
TIKAMGARH,Madhya Pradesh,1096402,1096023,379,403312.0
TIRUCHIRAPPALLI,Tamil Nadu,1048165,1049093,-928,313094.0
TIRUNELVELI,Tamil Nadu,1060656,1060461,195,165620.0
TIRUPPUR,Tamil Nadu,1136443,1135998,445,125928.0
TIRUVALLUR,Tamil Nadu,1413947,1430738,-16791,572155.0
TIRUVANNAMALAI,Tamil Nadu,1137264,1138102,-838,233931.0
TONK-SAWAI MADHOPUR,Rajasthan,1214246,1215309,-1063,64949.0
Tripura East,Tripura,1121664,1122424,-760,486819.0
Tripura West,Tripura,1192487,1192435,52,611578.0
Tumkur,Karnataka,1296730,1296720,10,175594.0
Tura,Meghalaya,670441,672284,-1843,155241.0
UDAIPUR,Rajasthan,1487355,1487268,87,261608.0
UDHAMPUR,Jammu & Kashmir,1106472,1108206,-1734,124373.0
Udupi Chikmagalur,Karnataka,1222939,1222888,51,259175.0
Ujiarpur,Bihar,1040183,1040026,157,60102.0
UJJAIN,Madhya Pradesh,1326071,1327715,-1644,375860.0
Uluberia,West Bengal,1387012,1389316,-2304,218673.0
Unnao,Uttar Pradesh,1298002,1298677,-675,35818.0
Uttara Kannada,Karnataka,1256012,1256027,-15,337428.0
Vadakara,Kerala,1110765,1114950,-4185,114506.0
Vadodara,Gujarat,1200380,1200768,-388,582126.0
Vaishali,Bihar,1169861,1170009,-148,89634.0
Valmiki Nagar,Bihar,1098897,1099781,-884,98675.0
Valsad,Gujarat,1351637,1352413,-776,210704.0
Varanasi,Uttar Pradesh,1127081,1128527,-1446,152513.0
VELLORE,Tamil Nadu,1123625,1123715,-90,215702.0
VIDISHA,Madhya Pradesh,1449038,1449010,28,821408.0
Vijayawada,Andhra Pradesh,1347527,1352495,-4968,282085.0
VILUPPURAM,Tamil Nadu,1145468,1150164,-4696,70703.0
VIRUDHUNAGAR,Tamil Nadu,1053507,1054634,-1127,4379.0
Visakhapatnam,Andhra Pradesh,1366795,1370484,-3689,504247.0
Vizianagaram,Andhra Pradesh,1278710,1284886,-6176,249351.0
Warangal,Telangana,1255435,1256301,-866,220339.0
Wardha,Maharashtra,1090347,1091351,-1004,81648.0
Wayanad,Kerala,1075706,1075921,-215,364422.0
West  Delhi,Delhi,1518075,1521541,-3466,199013.0
Yavatmal- Washim,Maharashtra,1220250,1220189,61,94473.0
Zahirabad,Telangana,1225027,1225049,-22,46188.0
Nalanda,Bihar,1139336,1139006,330,169114.0
Total,,641618937,642138442,-519505,
