Constituency_Name,State,EVM Votes Counted,EVM Votes Polled,Difference,Margin
Joynagar,West Bengal,1477368,1477298,70,470219.0
Junagadh,Gujarat,1057454,1057462,-8,135494.0
Kachchh,Gujarat,1090881,1090878,3,268782.0
Kadapa,Andhra Pradesh,1300147,1304256,-4109,62695.0
Kairana,Uttar Pradesh,1075537,1075839,-302,69116.0
Kaiserganj,Uttar Pradesh,1060767,1060576,191,148843.0
Kakinada,Andhra Pradesh,1312770,1312255,515,229491.0
Kalahandi,Odisha,1322799,1324936,-2137,133813.0
KALLAKURICHI,Tamil Nadu,1242562,1242597,-35,53784.0
Kalyan,Maharashtra,1042476,1043610,-1134,209144.0
KANCHEEPURAM,Tamil Nadu,1253129,1253582,-453,221473.0
Kandhamal,Odisha,990520,993091,-2571,21371.0
KANGRA,Himachal Pradesh,1019345,1020026,-681,251895.0
KANKER,Chhattisgarh,1260153,1261103,-950,1884.0
Kannauj,Uttar Pradesh,1214285,1214886,-601,170922.0
KANNIYAKUMARI,Tamil Nadu,1016841,1019532,-2691,179907.0
Kannur,Kerala,1048785,1048839,-54,108982.0
Kanpur,Uttar Pradesh,882042,882074,-32,20968.0
Kanthi,West Bengal,1519392,1521159,-1767,47764.0
Karakat,Bihar,1027665,1028641,-976,105858.0
KARAULI-DHOLPUR,Rajasthan,979010,979618,-608,98945.0
Karimganj,Assam,1140349,1136538,3811,18360.0
Karimnagar,Telangana,1302447,1303690,-1243,225209.0
KARNAL,Haryana,1341197,1341174,23,232577.0
KARUR,Tamil Nadu,1125359,1125241,118,166816.0
Kasaragod,Kerala,1103719,1104331,-612,100649.0
Katihar,Bihar,1168194,1168752,-558,49863.0
Kaushambi,Uttar Pradesh,1007927,1008255,-328,103944.0
Kaziranga,Assam,1623167,1626408,-3241,248947.0
Kendrapara,Odisha,1272561,1276773,-4212,66536.0
Keonjhar,Odisha,1252761,1254163,-1402,97042.0
Khadoor Sahib,Punjab,1042796,1043248,-452,197120.0
Khagaria,Bihar,1058612,1058539,73,161131.0
KHAJURAHO,Madhya Pradesh,1138109,1137867,242,541229.0
Khammam,Telangana,1240582,1241135,-553,467847.0
KHANDWA,Madhya Pradesh,1509810,1510588,-778,269971.0
KHARGONE,Madhya Pradesh,1555958,1555585,373,135018.0
Kheda,Gujarat,1164397,1166619,-2222,357758.0
Kheri,Uttar Pradesh,1209810,1209621,189,34329.0
Khunti,Jharkhand,924725,927422,-2697,149675.0
Kishanganj,Bihar,1150070,1149988,82,59692.0
Kodarma,Jharkhand,1360792,1363010,-2218,377014.0
Kokrajhar,Assam,1229546,1240306,-10760,51583.0
Kolar,Karnataka,1351321,1351646,-325,71388.0
Kolhapur,Maharashtra,1386232,1386230,2,154964.0
Kolkata Dakshin,West Bengal,1238425,1238256,169,187231.0
Kolkata Uttar,West Bengal,955466,957319,-1853,92560.0
Kollam,Kerala,902539,904047,-1508,150302.0
Koppal,Karnataka,1324940,1324898,42,46357.0
Koraput,Odisha,1144023,1148182,-4159,147744.0
KORBA,Chhattisgarh,1222833,1224268,-1435,43283.0
KOTA,Rajasthan,1487901,1487879,22,41974.0
Kottayam,Kerala,822566,823237,-671,87266.0
Kozhikode,Kerala,1078637,1079683,-1046,146176.0
KRISHNAGIRI,Tamil Nadu,1160887,1160498,389,192486.0
Krishnanagar,West Bengal,1415842,1415859,-17,56705.0
Kurnoolu,Andhra Pradesh,1316682,1323071,-6389,111298.0
KURUKSHETRA,Haryana,1202413,1202401,12,29021.0
Kushi Nagar,Uttar Pradesh,1079710,1079573,137,81790.0
Ladakh,Ladhak,132614,132727,-113,27862.0
Lakhimpur,Assam,1203562,1205331,-1769,201257.0
Lakshadweep,Lakshadweep,48630,48630,0,2647.0
Lalganj,Uttar Pradesh,999434,1000053,-619,115023.0
Latur,Maharashtra,1234853,1237355,-2502,61881.0
Lohardaga,Jharkhand,954698,957690,-2992,139138.0
Lucknow,Uttar Pradesh,1133259,1135624,-2365,135159.0
Ludhiana,Punjab,1057219,1057274,-55,20942.0
Machhlishahr,Uttar Pradesh,1056972,1057361,-389,35850.0
Machilipatnam,Andhra Pradesh,1292057,1293935,-1878,223179.0
Madha,Maharashtra,1267125,1267530,-405,120837.0
Madhepura,Bihar,1207499,1207368,131,174534.0
Madhubani,Bihar,1026338,1026408,-70,151945.0
MADURAI,Tamil Nadu,981623,981650,-27,209409.0
Mahabubabad,Telangana,1100480,1101030,-550,349165.0
Maharajganj,Uttar Pradesh,1011462,1011421,41,102651.0
Maharajganj,Bihar,1208722,1208589,133,102651.0
MAHASAMUND,Chhattisgarh,1322134,1322125,9,145456.0
Mahbubnagar,Telangana,1218323,1218587,-264,4500.0
Mahesana,Gujarat,1059316,1059938,-622,328046.0
Mainpuri,Uttar Pradesh,1051023,1051758,-735,221639.0
Malappuram,Kerala,1078038,1079547,-1509,300118.0
Maldaha Dakshin,West Bengal,1364552,1366728,-2176,128368.0
Maldaha Uttar,West Bengal,1413820,1415718,-1898,77708.0
Malkajgiri,Telangana,1915185,1919131,-3946,391475.0
MANDI,Himachal Pradesh,997478,997833,-355,74755.0
MANDLA,Madhya Pradesh,1531950,1530861,1089,103846.0
MANDSOUR,Madhya Pradesh,1428345,1428623,-278,500655.0
Mandya,Karnataka,1453087,1453060,27,284620.0
Mathura,Uttar Pradesh,953522,953388,134,293407.0
Mathurapur,West Bengal,1490330,1490299,31,201057.0
Maval,Maharashtra,1417866,1418439,-573,96615.0
Mavelikkara,Kerala,878986,878360,626,10868.0
MAYILADUTHURAI,Tamil Nadu,1083416,1083243,173,271183.0
Mayurbhanj,Odisha,1165669,1169335,-3666,219334.0
Medak,Telangana,1372896,1372894,2,39139.0
Medinipur,West Bengal,1474654,1477309,-2655,27191.0
Meerut,Uttar Pradesh,1179112,1179121,-9,10585.0
Mirzapur,Uttar Pradesh,1103900,1104186,-286,37810.0
Misrikh,Uttar Pradesh,1049151,1049630,-479,33406.0
MIZORAM,Mizoram,486889,487013,-124,68288.0
Mohanlalganj,Uttar Pradesh,1374478,1375372,-894,70292.0
Moradabad,Uttar Pradesh,1280819,1280706,113,105762.0
MORENA,Madhya Pradesh,1183586,1183282,304,52530.0
Mumbai North,Maharashtra,1032503,1033241,-738,357608.0
Mumbai North Central,Maharashtra,907229,906530,699,16514.0
Mumbai North East,Maharashtra,922256,922760,-504,29861.0
Mumbai North West,Maharashtra,951582,951580,2,48.0
Mumbai South,Maharashtra,769223,769010,213,52673.0
Mumbai South Central,Maharashtra,790338,790339,-1,53384.0
Munger,Bihar,1134550,1134548,2,80870.0
Murshidabad,West Bengal,1539216,1539112,104,164215.0
Muzaffarnagar,Uttar Pradesh,1075007,1074608,399,24672.0
Muzaffarpur,Bihar,1110095,1109688,407,234927.0
Mysore,Karnataka,1476661,1477576,-915,139262.0
Nabarangpur,Odisha,1236661,1243957,-7296,87536.0
Nagaland,Nagaland,757154,760507,-3353,50984.0
Nagaon,Assam,1544126,1544081,45,212231.0
NAGAPATTINAM,Tamil Nadu,968049,967694,355,208957.0
Nagarkurnool,Telangana,1205275,1207470,-2195,94414.0
NAGAUR,Rajasthan,1227911,1228494,-583,42225.0
Nagina,Uttar Pradesh,998870,999203,-333,151473.0
Nagpur,Maharashtra,1207455,1207738,-283,137603.0
Nainital-Udhamsingh Nagar,Uttarakhand,1255964,1259180,-3216,334548.0
Nalgonda,Telangana,1277136,1277137,-1,559905.0
NAMAKKAL,Tamil Nadu,1136116,1136069,47,29112.0
Nanded,Maharashtra,1123660,1128564,-4904,59442.0
Nandurbar,Maharashtra,1391396,1392635,-1239,159120.0
Nandyal,Andhra Pradesh,1385007,1387367,-2360,111975.0
Narsapuram,Andhra Pradesh,1217351,1216550,801,276802.0
Narsaraopet,Andhra Pradesh,1482913,1485909,-2996,159729.0
Nashik,Maharashtra,1233252,1233379,-127,162001.0
Navsari,Gujarat,1326543,1326542,1,773551.0
Nawada,Bihar,864900,866102,-1202,67670.0
Nellore,Andhra Pradesh,1352418,1353563,-1145,245902.0
New Delhi,Delhi,844889,845285,-396,78370.0
NILGIRIS,Tamil Nadu,1013616,1013410,206,240585.0
Nizamabad,Telangana,1226215,1226133,82,109241.0
North-East Delhi,Delhi,1548476,1549202,-726,138778.0
North Goa,Goa,451054,451042,12,116015.0
North-West Delhi,Delhi,1482638,1485378,-2740,290849.0
Ongole,Andhra Pradesh,1401174,1399707,1467,50199.0
Osmanabad,Maharashtra,1273099,1272969,130,329846.0
Outer Manipur,Manipur,791243,793425,-2182,85418.0
Palakkad,Kerala,1027240,1028627,-1387,75283.0
Palamau,Jharkhand,1373737,1374358,-621,288807.0
Palghar,Maharashtra,1373159,1373162,-3,183306.0
PALI,Rajasthan,1340018,1339989,29,245351.0
Panchmahal,Gujarat,1116210,1116171,39,509342.0
Parbhani,Maharashtra,1321999,1321868,131,134061.0
Paschim Champaran,Bihar,1082170,1082178,-8,136568.0
Patan,Gujarat,1181373,1182950,-1577,31876.0
Pathanamthitta,Kerala,905748,906051,-303,66119.0
Patiala,Punjab,1149065,1149417,-352,14831.0
Patliputra,Bihar,1227339,1228549,-1210,85174.0
Patna Sahib,Bihar,1073762,1073847,-85,153846.0
Peddapalle,Telangana,1082815,1083467,-652,131364.0
PERAMBALUR,Tamil Nadu,1119859,1119881,-22,389107.0
Phulpur,Uttar Pradesh,1011627,1010909,718,4332.0
Pilibhit,Uttar Pradesh,1155967,1155917,50,164935.0
POLLACHI,Tamil Nadu,1120439,1124743,-4304,252042.0
Ponnani,Kerala,1019932,1019889,43,235760.0
Porbandar,Gujarat,916558,916519,39,383360.0
Pratapgarh,Uttar Pradesh,943304,943245,59,66206.0
PUDUCHERRY,PUDUCHERRY,804489,807724,-3235,136516.0
Pune,Maharashtra,1103671,1103678,-7,123038.0
Puri,Odisha,1191034,1196684,-5650,104709.0
Purnia,Bihar,1194607,1194484,123,23847.0
Purulia,West Bengal,1428596,1429190,-594,17079.0
Purvi Champaran,Bihar,1069091,1068642,449,88287.0
Rae Bareli,Uttar Pradesh,1036644,1036997,-353,390030.0
Raichur,Karnataka,1295636,1299806,-4170,79781.0
Raigad,Maharashtra,1008505,1009567,-1062,82784.0
Raiganj,West Bengal,1363996,1363854,142,68197.0
RAIGARH,Chhattisgarh,1449708,1449673,35,240391.0
RAIPUR,Chhattisgarh,1582240,1587116,-4876,575285.0
Rajahmundry,Andhra Pradesh,1311751,1313630,-1879,239139.0
Rajampet,Andhra Pradesh,1314182,1317448,-3266,76071.0
RAJGARH,Madhya Pradesh,1424176,1425911,-1735,146089.0
Rajkot,Gujarat,1260778,1260768,10,484260.0
Rajmahal,Jharkhand,1206675,1206577,98,178264.0
RAJNANDGAON,Chhattisgarh,1444139,1446247,-2108,44411.0
RAJSAMAND,Rajasthan,1203306,1203299,7,392223.0
RAMANATHAPURAM,Tamil Nadu,1102130,1103036,-906,166782.0
Rampur,Uttar Pradesh,966744,967200,-456,87434.0
Ramtek,Maharashtra,1249961,1250190,-229,76768.0
Ranaghat,West Bengal,1531996,1532304,-308,186899.0
Ranchi,Jharkhand,1432859,1436127,-3268,120512.0
RATLAM,Madhya Pradesh,1528176,1527828,348,207232.0
Ratnagiri- Sindhudurg,Maharashtra,906206,907618,-1412,47858.0
Raver,Maharashtra,1169365,1170944,-1579,272183.0
REWA,Madhya Pradesh,914978,915444,-466,193374.0
Robertsganj,Uttar Pradesh,1008459,1010277,-1818,129234.0
ROHTAK,Haryana,1239652,1241201,-1549,345298.0
Sabarkantha,Gujarat,1256286,1256210,76,155682.0
SAGAR,Madhya Pradesh,1147932,1147866,66,471222.0
Saharanpur,Uttar Pradesh,1227175,1227083,92,64542.0
SALEM,Tamil Nadu,1295702,1296481,-779,70357.0
Salempur,Uttar Pradesh,913701,913009,692,3573.0
Samastipur,Bihar,1092821,1093182,-361,187251.0
Sambalpur,Odisha,1190616,1192226,-1610,119836.0
Sambhal,Uttar Pradesh,1193721,1194209,-488,121494.0
Sangli,Maharashtra,1163363,1163353,10,100053.0
Sangrur,Punjab,1005403,1006048,-645,172560.0
Sant Kabir Nagar,Uttar Pradesh,1088750,1089154,-404,92170.0
Saran,Bihar,1018494,1018366,128,13661.0
Sasaram,Bihar,1092158,1091993,165,19157.0
Satara,Maharashtra,1193487,1193492,-5,32771.0
SATNA,Madhya Pradesh,1056421,1056175,246,84949.0
Secunderabad,Telangana,1039041,1039834,-793,49944.0
SHAHDOL,Madhya Pradesh,1149082,1149506,-424,397340.0
